reviews_sql_good_feedback,days_since_created,order_items_item_gross_margin_percentage,order_items_gross_margin,products_brand,products_category,products_department,products_retail_price,distribution_centers_name
Yes,63,0.8434444044938445,21.086110112346113,Fruit of the Loom,Shorts,Men,8.4899997711181641,Savannah GA
Yes,51,0.96671862297247257,113.68610858646721,Fruit of the Loom,Shorts,Men,8.4899997711181641,Savannah GA
Yes,92,0.9347140977840751,56.036110875285566,Fruit of the Loom,Shorts,Men,8.4899997711181641,Savannah GA
Yes,14,0.92752055763603913,50.086110112346113,Fruit of the Loom,Shorts,Men,8.4899997711181641,Savannah GA
Yes,93,0.39693528109638715,2.5761098834642766,Fruit of the Loom,Shorts,Men,8.4899997711181641,Savannah GA
Yes,65,0.8434444044938445,21.086110112346113,Fruit of the Loom,Shorts,Men,8.4899997711181641,Savannah GA
No,96,0.8434444044938445,21.086110112346113,Fruit of the Loom,Shorts,Men,8.4899997711181641,Savannah GA
Yes,35,0.673570478534806,8.0761098834642766,Fruit of the Loom,Shorts,Men,8.4899997711181641,Savannah GA
Yes,151,0.97605384672642337,152.26440008932204,Hanes,Active,Women,8.4899997711181641,Houston TX
Yes,128,0.94198500171865029,50.867190092807114,Hanes,Socks & Hosiery,Women,8.4899997711181641,Houston TX
Yes,140,0.92623946031484772,64.827497848775238,Hanes,Sleep & Lounge,Women,8.75,Houston TX
Yes,78,0.79349999940022831,19.837499985005707,Hanes,Sleep & Lounge,Women,8.75,Houston TX
Yes,163,0.96507229086137236,132.69743999343871,Hanes,Tops & Tees,Men,8.9600000381469727,Houston TX
Yes,84,0.4238674180596832,3.7724198590385924,Champion,Socks,Men,8.9799995422363281,Chicago IL
Yes,145,0.90825514849699385,61.761350097795578,Hanes,Socks,Men,9.9499998092651367,Houston TX
Yes,133,0.88604401782930164,35.432901760189239,Hanes,Active,Men,9.9499998092651367,Houston TX
Yes,118,0.81771600326889748,20.442900081722438,Hanes,Active,Men,9.9499998092651367,Houston TX
No,122,0.80804154147063312,26.261350097795578,Hanes,Socks,Men,9.9499998092651367,Houston TX
Yes,99,0.88657000177810141,48.761350097795578,Hanes,Socks,Men,9.9499998092651367,Houston TX
Yes,68,0.93756541921287562,68.432897945491973,Hanes,Active,Men,9.9499998092651367,Houston TX
Yes,146,0.87520204655460687,43.751351776262375,Hanes,Socks,Men,9.9499998092651367,Houston TX
Yes,111,0.89600517206780206,53.751351776262375,Hanes,Socks,Men,9.9499998092651367,Houston TX
Yes,66,0.87341389115895662,31.442900081722438,Hanes,Active,Men,9.9499998092651367,Houston TX
Yes,173,0.88446944625547363,47.761350097795578,Hanes,Socks,Men,9.9499998092651367,Houston TX
Yes,143,0.88446944625547363,47.761350097795578,Hanes,Socks,Men,9.9499998092651367,Houston TX
Yes,133,0.89736261798051031,39.842901607601348,Hanes,Active,Men,9.9499998092651367,Houston TX
Yes,139,0.72381212616499624,11.942900081722438,Hanes,Active,Men,9.9499998092651367,Houston TX
Yes,93,0.88607250204306109,35.442900081722442,Hanes,Active,Men,9.9499998092651367,Houston TX
Yes,141,0.37551050599211955,3.7513498689137403,Hanes,Socks,Men,9.9499998092651367,Houston TX
Yes,88,0.91085096309035407,63.741353454729172,Hanes,Socks,Men,9.9499998092651367,Houston TX
Yes,109,0.81771600326889748,20.442900081722438,Hanes,Active,Men,9.9499998092651367,Houston TX
No,101,0.91693982357198078,68.871350708147133,Hanes,Socks,Men,9.9499998092651367,Houston TX
Yes,139,0.68791145704673229,13.75134986891374,Hanes,Socks,Men,9.9499998092651367,Houston TX
Yes,172,0.843838553615452,33.711350860735031,Hanes,Socks,Men,9.9499998092651367,Houston TX
Yes,153,0.81771600326889748,20.442900081722438,Hanes,Active,Men,9.9499998092651367,Houston TX
No,145,0.84804601690373227,25.432899852840603,Hanes,Active,Men,9.9499998092651367,Houston TX
Yes,155,0.75389941584518738,19.111350479265305,Hanes,Socks,Men,9.9499998092651367,Houston TX
Yes,150,0.49309232099004208,4.4328998528406025,Hanes,Active,Men,9.9499998092651367,Houston TX
Yes,132,0.92142931175383525,53.442900081722442,Hanes,Active,Men,9.9499998092651367,Houston TX
Yes,80,0.83573854719859542,31.741349640031906,Hanes,Socks,Men,9.9499998092651367,Houston TX
Yes,124,0.813539287287365,19.882900615780056,Hanes,Active,Men,9.9499998092651367,Houston TX
Yes,141,0.8613325256844705,38.751351776262375,Hanes,Socks,Men,9.9499998092651367,Houston TX
Yes,35,0.7916978382877301,23.711350860735031,Hanes,Socks,Men,9.9499998092651367,Houston TX
Yes,146,0.80186522094445389,18.442900081722438,Hanes,Active,Men,9.9499998092651367,Houston TX
Yes,137,0.96899279325630761,194.96134704603776,Hanes,Socks,Men,9.9499998092651367,Houston TX
Yes,69,0.93932765435699517,70.552900692074,Hanes,Active,Men,9.9499998092651367,Houston TX
Yes,88,0.821701926180708,28.751351776262375,Hanes,Socks,Men,9.9499998092651367,Houston TX
Yes,168,0.68791145704673229,13.75134986891374,Hanes,Socks,Men,9.9499998092651367,Houston TX
Yes,164,0.7599596014949862,19.751349868913742,Hanes,Socks,Men,9.9499998092651367,Houston TX
Yes,71,0.81771600326889748,20.442900081722438,Hanes,Active,Men,9.9499998092651367,Houston TX
Yes,153,0.94302912814126183,75.432897945491973,Hanes,Active,Men,9.9499998092651367,Houston TX
Yes,57,0.79266700330448925,23.851350250383469,Hanes,Socks,Men,9.9499998092651367,Houston TX
Yes,139,0.54383383156299181,5.4328998528406025,Hanes,Active,Men,9.9499998092651367,Houston TX
No,145,0.79190627093188226,23.741349640031906,Hanes,Socks,Men,9.9499998092651367,Houston TX
Yes,64,0.932904887498051,63.362898250667754,Hanes,Active,Men,9.9499998092651367,Houston TX
Yes,171,0.90825514849699385,61.761350097795578,Hanes,Socks,Men,9.9499998092651367,Houston TX
Yes,29,0.93599415385172569,91.2313513184987,Hanes,Socks,Men,9.9499998092651367,Houston TX
No,136,0.79875322896114764,24.761350097795578,Hanes,Socks,Men,9.9499998092651367,Houston TX
Yes,83,0.92528119703452161,56.432901760189239,Hanes,Active,Men,9.9499998092651367,Houston TX
Yes,144,0.93932765435699517,70.552900692074,Hanes,Active,Men,9.9499998092651367,Houston TX
No,158,0.81012083673843494,19.442900081722438,Hanes,Active,Men,9.9499998092651367,Houston TX
Yes,163,0.93298382473121233,63.442900081722442,Hanes,Active,Men,9.9499998092651367,Houston TX
Yes,60,0.77203101698571686,15.432899852840603,Hanes,Active,Men,9.9499998092651367,Houston TX
Yes,168,0.75045400391182315,18.761350097795578,Hanes,Socks,Men,9.9499998092651367,Houston TX
Yes,103,0.67147709439719061,12.75134986891374,Hanes,Socks,Men,9.9499998092651367,Houston TX
Yes,168,0.54429000817224382,5.4429000817224384,Hanes,Active,Men,9.9499998092651367,Houston TX
Yes,167,0.90402077073531661,58.761350097795578,Hanes,Socks,Men,9.9499998092651367,Houston TX
Yes,46,0.79204500325985261,23.761350097795578,Hanes,Socks,Men,9.9499998092651367,Houston TX
No,168,0.90880328583243053,45.412901302425567,Hanes,Active,Men,9.9499998092651367,Houston TX
Yes,68,0.75772992835386821,14.252899547664821,Hanes,Active,Men,9.9499998092651367,Houston TX
Yes,119,0.6199249370083536,7.4328998528406025,Hanes,Active,Men,9.9499998092651367,Houston TX
Yes,172,0.92879531377691316,59.442900081722442,Hanes,Active,Men,9.9499998092651367,Houston TX
Yes,112,0.77180270030204245,15.412899395076931,Hanes,Active,Men,9.9499998092651367,Houston TX
Yes,160,0.75045400391182315,18.761350097795578,Hanes,Socks,Men,9.9499998092651367,Houston TX
Yes,138,0.90400599927266145,58.751347961565109,Hanes,Socks,Men,9.9499998092651367,Houston TX
Yes,167,0.8439947576805501,33.751351776262375,Hanes,Socks,Men,9.9499998092651367,Houston TX
Yes,171,0.69619333878149592,10.442900081722438,Hanes,Active,Men,9.9499998092651367,Houston TX
Yes,158,0.69619333878149592,10.442900081722438,Hanes,Active,Men,9.9499998092651367,Houston TX
No,95,0.93432308619322613,88.7513479615651,Hanes,Socks,Men,9.9499998092651367,Houston TX
Yes,96,0.852996776829756,26.442900081722438,Hanes,Active,Men,9.9499998092651367,Houston TX
Yes,127,0.81771600326889748,20.442900081722438,Hanes,Active,Men,9.9499998092651367,Houston TX
Yes,140,0.91560926077263782,49.442900081722442,Hanes,Active,Men,9.9499998092651367,Houston TX
Yes,93,0.61705041475956013,7.3428997002527119,Hanes,Active,Men,9.9499998092651367,Houston TX
Yes,65,0.84185932112667528,33.211350860735031,Hanes,Socks,Men,9.9499998092651367,Houston TX
Yes,124,0.42973947518324834,4.7013496781788771,Hanes,Socks,Men,9.9499998092651367,Houston TX
No,38,0.92398498982013832,55.392900844661895,Hanes,Active,Men,9.9499998092651367,Houston TX
No,162,0.55406361656389125,7.75134986891374,Hanes,Socks,Men,9.9499998092651367,Houston TX
Yes,119,0.8439947576805501,33.751351776262375,Hanes,Socks,Men,9.9499998092651367,Houston TX
Yes,20,0.91560926077263782,49.442900081722442,Hanes,Active,Men,9.9499998092651367,Houston TX
Yes,146,0.92398498982013832,55.392900844661895,Hanes,Active,Men,9.9499998092651367,Houston TX
No,154,0.90883977264916693,45.432901760189239,Hanes,Active,Men,9.9499998092651367,Houston TX
Yes,145,0.79285909462374715,17.442900081722438,Hanes,Active,Men,9.9499998092651367,Houston TX
No,91,0.91693982357198078,68.871350708147133,Hanes,Socks,Men,9.9499998092651367,Houston TX
Yes,74,0.92989077048803759,60.442900081722442,Hanes,Active,Men,9.9499998092651367,Houston TX
Yes,112,0.93932765435699517,70.552900692074,Hanes,Active,Men,9.9499998092651367,Houston TX
Yes,126,0.45703655122028769,5.25134986891374,Hanes,Socks,Men,9.9499998092651367,Houston TX
Yes,110,0.8766684756648695,32.392900844661895,Hanes,Active,Men,9.9499998092651367,Houston TX
Yes,81,0.88604401782930164,35.432901760189239,Hanes,Active,Men,9.9499998092651367,Houston TX
Yes,73,0.90867535513171926,45.342901607601348,Hanes,Active,Men,9.9499998092651367,Houston TX
Yes,70,0.85888599793263631,37.971349182268234,Hanes,Socks,Men,9.9499998092651367,Houston TX
Yes,89,0.94800691713248075,113.7513479615651,Hanes,Socks,Men,9.9499998092651367,Houston TX
Yes,121,0.75045400391182315,18.761350097795578,Hanes,Socks,Men,9.9499998092651367,Houston TX
No,131,0.81771600326889748,20.442900081722438,Hanes,Active,Men,9.9499998092651367,Houston TX
Yes,38,0.92440700618885707,55.418200726288561,Hanes,Active,Men,9.9600000381469727,Houston TX
Yes,77,0.853600001335144,21.3400000333786,Fruit of the Loom,Socks & Hosiery,Women,10.0,Savannah GA
Yes,112,0.90847712395590674,36.3300017118454,Fruit of the Loom,Socks & Hosiery,Women,10.0,Savannah GA
Yes,32,0.78139069148795326,15.619999743998051,Fruit of the Loom,Active,Women,10.0,Savannah GA
Yes,163,0.75386684634908518,11.209999918937683,Fruit of the Loom,Socks & Hosiery,Women,10.0,Savannah GA
Yes,122,0.72732957898618278,11.629999801516533,Fruit of the Loom,Socks & Hosiery,Women,10.0,Savannah GA
Yes,69,0.9257352942710414,62.950000010430813,Fruit of the Loom,Intimates,Women,10.0,Savannah GA
No,63,0.82909545552394293,19.8899997882545,Fruit of the Loom,Socks & Hosiery,Women,10.0,Savannah GA
No,39,0.92141610001740126,58.040001686662436,Fruit of the Loom,Intimates,Women,10.0,Savannah GA
Yes,112,0.98189964161444732,273.95000001043081,Fruit of the Loom,Intimates,Women,10.0,Savannah GA
No,130,0.92501750218223777,55.501050130934267,Hanes,Active,Men,10.109999656677246,Houston TX
No,157,0.95645757431413569,124.32992533907287,Hanes,Tops & Tees,Women,10.180000305175781,Houston TX
Yes,36,0.86837022897462346,37.33991984590881,Hanes,Tops & Tees,Women,10.180000305175781,Houston TX
Yes,85,0.94638044443919755,99.89991740450256,Hanes,Tops & Tees,Women,10.180000305175781,Houston TX
Yes,148,0.27897067224790967,2.1899197505413746,Hanes,Tops & Tees,Women,10.180000305175781,Houston TX
Yes,89,0.70313199833559992,10.546979975033999,Hanes,Socks & Hosiery,Women,10.380000114440918,Houston TX
Yes,88,0.959704475074889,115.15493791408599,Hanes,Plus,Women,10.579999923706055,Houston TX
Yes,42,0.70010133646053074,10.501520046907961,Hanes,Socks & Hosiery,Women,11.079999923706055,Houston TX
No,169,0.83710000012069941,20.927500003017485,Columbia,Accessories,Men,11.25,Port Authority of New York/New Jersey NY/NJ
Yes,135,0.88851628433969243,32.45749878231436,Columbia,Accessories,Men,11.25,Port Authority of New York/New Jersey NY/NJ
No,179,0.89816204485994278,35.917501681484282,Columbia,Accessories,Men,11.25,Port Authority of New York/New Jersey NY/NJ
Yes,98,0.94181311442658788,65.917497866787016,Columbia,Accessories,Men,11.25,Port Authority of New York/New Jersey NY/NJ
No,109,0.92458333338921272,49.927500003017485,Columbia,Accessories,Men,11.25,Port Authority of New York/New Jersey NY/NJ
Yes,109,0.89268774927247,33.877500765956938,Columbia,Accessories,Men,11.25,Port Authority of New York/New Jersey NY/NJ
No,163,0.89282894744782859,33.927500003017485,Columbia,Accessories,Men,11.25,Port Authority of New York/New Jersey NY/NJ
Yes,66,0.86402337585173339,25.877500765956938,Columbia,Accessories,Men,11.25,Port Authority of New York/New Jersey NY/NJ
No,87,0.89816204485994278,35.917501681484282,Columbia,Accessories,Men,11.25,Port Authority of New York/New Jersey NY/NJ
Yes,54,0.92308781986207411,48.877500765956938,Columbia,Accessories,Men,11.25,Port Authority of New York/New Jersey NY/NJ
Yes,68,0.95033536589045708,77.927500003017485,Columbia,Accessories,Men,11.25,Port Authority of New York/New Jersey NY/NJ
No,111,0.68648960209858734,8.91749977413565,Columbia,Accessories,Men,11.25,Port Authority of New York/New Jersey NY/NJ
No,169,0.94577952384650565,71.037500613369048,Columbia,Accessories,Men,11.25,Port Authority of New York/New Jersey NY/NJ
No,34,0.88015008676146411,29.907499545253813,Columbia,Accessories,Men,11.25,Port Authority of New York/New Jersey NY/NJ
Yes,160,0.94180480420655743,65.907503359951079,Columbia,Accessories,Men,11.25,Port Authority of New York/New Jersey NY/NJ
Yes,150,0.89555014563562707,34.917501681484282,Columbia,Accessories,Men,11.25,Port Authority of New York/New Jersey NY/NJ
Yes,159,0.93636718754714821,59.927500003017485,Columbia,Accessories,Men,11.25,Port Authority of New York/New Jersey NY/NJ
No,68,0.91301477757721061,50.672320155535189,Champion,Active,Women,11.4399995803833,Chicago IL
Yes,132,0.45376981012660411,5.4406999195583161,Hanes,Intimates,Women,11.489999771118164,Houston TX
Yes,123,0.567995713466872,7.9462599013976378,Hanes,Intimates,Women,11.489999771118164,Houston TX
Yes,105,0.88022494851851851,48.13070045361593,Hanes,Intimates,Women,11.489999771118164,Houston TX
Yes,105,0.84738030043940138,33.556258604400568,Hanes,Intimates,Women,11.489999771118164,Houston TX
Yes,65,0.91719724945494641,55.939861783742309,Hanes,Active,Men,11.529999732971191,Houston TX
Yes,173,0.87975857393513124,36.949860105275512,Hanes,Active,Men,11.529999732971191,Houston TX
Yes,67,0.87371493666518629,34.939861783742309,Hanes,Active,Men,11.529999732971191,Houston TX
Yes,49,0.928676078142718,73.365410173274725,Hanes,Intimates,Women,11.569999694824219,Houston TX
Yes,136,0.831416672144706,29.931000197209418,Fruit of the Loom,Intimates,Women,11.899999618530273,Savannah GA
No,166,0.53279446422436927,6.9209999683275818,Fruit of the Loom,Intimates,Women,11.899999618530273,Savannah GA
Yes,111,0.91075000290013841,61.931000197209414,Fruit of the Loom,Intimates,Women,11.899999618530273,Savannah GA
Yes,92,0.898765642609593,53.881000960148867,Fruit of the Loom,Intimates,Women,11.899999618530273,Savannah GA
No,87,0.90663077226476019,58.931000197209414,Fruit of the Loom,Intimates,Women,11.899999618530273,Savannah GA
Yes,113,0.76657693066190069,19.931000197209418,Fruit of the Loom,Intimates,Women,11.899999618530273,Savannah GA
Yes,169,0.880625495976092,44.771000349797305,Fruit of the Loom,Intimates,Women,11.899999618530273,Savannah GA
Yes,134,0.86739379797959126,50.308840282816291,Under Armour,Socks,Men,11.979999542236328,Savannah GA
Yes,70,-1.2091119295840258,-3.0227798239600645,Under Armour,Active,Men,11.979999542236328,Savannah GA
Yes,135,0.48725601885441944,7.3088402828162913,Under Armour,Socks,Men,11.979999542236328,Savannah GA
Yes,119,0.74118138341315865,21.4942601189816,Hanes,Socks,Men,11.989999771118164,Houston TX
Yes,70,0.851227758908297,25.451709666640461,Hanes,Active,Men,11.989999771118164,Houston TX
Yes,99,0.934231324185843,63.527730044637323,Hanes,Active,Men,11.989999771118164,Houston TX
Yes,108,0.82206840192440755,20.551710048110188,Hanes,Active,Men,11.989999771118164,Houston TX
Yes,143,-0.50415635777404177,-2.5157401099002357,Hanes,Socks,Men,11.989999771118164,Houston TX
Yes,139,0.96111069604032451,110.52773004463732,Hanes,Active,Men,11.989999771118164,Houston TX
No,110,0.62452526428425481,12.484259890099764,Hanes,Socks,Men,11.989999771118164,Houston TX
Yes,137,0.87480000357800858,52.444260881921053,Hanes,Socks,Men,11.989999771118164,Houston TX
Yes,110,0.93610129887319571,65.517727908406854,Hanes,Active,Men,11.989999771118164,Houston TX
Yes,87,0.9000700330178939,67.604260729333163,Hanes,Socks,Men,11.989999771118164,Houston TX
No,76,0.91053671123821733,45.51773172310412,Hanes,Active,Men,11.989999771118164,Houston TX
Yes,170,0.9850924334821245,295.52773004463734,Hanes,Active,Men,11.989999771118164,Houston TX
Yes,149,0.37885137863369805,2.72772985390246,Hanes,Active,Men,11.989999771118164,Houston TX
Yes,52,0.83792399787430616,38.804261492272616,Hanes,Socks,Men,11.989999771118164,Houston TX
Yes,174,0.64193194256861885,8.0177298157554873,Hanes,Active,Men,11.989999771118164,Houston TX
Yes,53,0.934231324185843,63.527730044637323,Hanes,Active,Men,11.989999771118164,Houston TX
Yes,173,0.79342863583540879,17.177729663167597,Hanes,Active,Men,11.989999771118164,Houston TX
Yes,110,0.93609217289470781,65.507733401570917,Hanes,Active,Men,11.989999771118164,Houston TX
Yes,130,0.91382187647758983,58.484600094565749,Hanes,Active,Men,11.989999771118164,Houston TX
Yes,33,0.96356436950961943,198.4942601189816,Hanes,Socks,Men,11.989999771118164,Houston TX
Yes,64,0.44026657278154052,3.5177298157554873,Hanes,Active,Men,11.989999771118164,Houston TX
No,104,0.90616651979662033,72.484257982751132,Hanes,Socks,Men,11.989999771118164,Houston TX
Yes,100,0.83095181029118614,36.894261644860507,Hanes,Socks,Men,11.989999771118164,Houston TX
No,92,0.91718018601180229,49.527730044637323,Hanes,Active,Men,11.989999771118164,Houston TX
Yes,152,0.42219091506786727,5.4842598900997643,Hanes,Socks,Men,11.989999771118164,Houston TX
Yes,143,0.925462167410622,55.527730044637323,Hanes,Active,Men,11.989999771118164,Houston TX
Yes,32,0.93012078194745818,59.527730044637323,Hanes,Active,Men,11.989999771118164,Houston TX
No,141,0.87490433531636,52.4942601189816,Hanes,Socks,Men,11.989999771118164,Houston TX
Yes,78,0.82798961710143548,21.527730044637323,Hanes,Active,Men,11.989999771118164,Houston TX
Yes,141,0.90061622321416279,40.527730044637323,Hanes,Active,Men,11.989999771118164,Houston TX
Yes,124,0.821109201785493,20.527730044637323,Hanes,Active,Men,11.989999771118164,Houston TX
Yes,155,0.80555348020162276,18.527730044637323,Hanes,Active,Men,11.989999771118164,Houston TX
Yes,89,0.6273108370531103,7.5277300446373232,Hanes,Active,Men,11.989999771118164,Houston TX
No,119,0.812309588247405,32.4842617974484,Hanes,Socks,Men,11.989999771118164,Houston TX
Yes,128,0.94036973392849765,70.527730044637323,Hanes,Active,Men,11.989999771118164,Houston TX
Yes,90,0.84359784083136968,40.4842617974484,Hanes,Socks,Men,11.989999771118164,Houston TX
Yes,71,0.88962147233796474,60.4942601189816,Hanes,Socks,Men,11.989999771118164,Houston TX
No,41,0.70344733654067915,10.551710048110188,Hanes,Active,Men,11.989999771118164,Houston TX
Yes,151,0.821109201785493,20.527730044637323,Hanes,Active,Men,11.989999771118164,Houston TX
Yes,62,0.79150722552726671,28.4942601189816,Hanes,Socks,Men,11.989999771118164,Houston TX
Yes,133,-0.23653042318844886,-1.4357397093570228,Hanes,Socks,Men,11.989999771118164,Houston TX
Yes,159,0.860197874730827,27.517729815755487,Hanes,Active,Men,11.989999771118164,Houston TX
Yes,143,0.82617554821742967,35.674260424157382,Hanes,Socks,Men,11.989999771118164,Houston TX
Yes,124,0.87218434578941573,30.51773172310412,Hanes,Active,Men,11.989999771118164,Houston TX
Yes,22,0.812309588247405,32.4842617974484,Hanes,Socks,Men,11.989999771118164,Houston TX
Yes,93,0.868462648371686,29.527730044637323,Hanes,Active,Men,11.989999771118164,Houston TX
Yes,177,0.84682163508125718,41.4942601189816,Hanes,Socks,Men,11.989999771118164,Houston TX
No,76,0.925462167410622,55.527730044637323,Hanes,Active,Men,11.989999771118164,Houston TX
Yes,72,0.65623724141125139,8.4917096284934885,Hanes,Active,Men,11.989999771118164,Houston TX
Yes,179,0.43028407519808648,3.3777299492698916,Hanes,Active,Men,11.989999771118164,Houston TX
Yes,80,0.82199719917441294,20.541709819228352,Hanes,Active,Men,11.989999771118164,Houston TX
Yes,96,0.24267366959903031,2.4243099037507179,Hanes,Socks,Men,11.989999771118164,Houston TX
Yes,139,0.97187251600400837,154.52773004463734,Hanes,Active,Men,11.989999771118164,Houston TX
Yes,170,0.89047512017049812,61.024258898278475,Hanes,Socks,Men,11.989999771118164,Houston TX
Yes,74,0.81235650297454,32.4942601189816,Hanes,Socks,Men,11.989999771118164,Houston TX
Yes,134,0.78670815078345613,27.684258745690585,Hanes,Socks,Men,11.989999771118164,Houston TX
Yes,61,0.495284190601219,7.4243099037507179,Hanes,Socks,Men,11.989999771118164,Houston TX
Yes,91,0.934231324185843,63.527730044637323,Hanes,Active,Men,11.989999771118164,Houston TX
Yes,87,0.15749551747935506,1.4143096748688819,Hanes,Socks,Men,11.989999771118164,Houston TX
Yes,85,0.79708733332154025,29.484261797448397,Hanes,Socks,Men,11.989999771118164,Houston TX
Yes,90,0.846759086337964,41.474259661217928,Hanes,Socks,Men,11.989999771118164,Houston TX
Yes,127,0.79671500202896928,17.527730044637323,Hanes,Active,Men,11.989999771118164,Houston TX
Yes,88,0.765445628718175,24.4942601189816,Hanes,Socks,Men,11.989999771118164,Houston TX
Yes,28,0.74513617363080709,21.944260881921053,Hanes,Socks,Men,11.989999771118164,Houston TX
Yes,79,0.699770404759264,17.4942601189816,Hanes,Socks,Men,11.989999771118164,Houston TX
Yes,119,0.49961734126544,7.4942601189816,Hanes,Socks,Men,11.989999771118164,Houston TX
Yes,157,0.821109201785493,20.527730044637323,Hanes,Active,Men,11.989999771118164,Houston TX
No,140,0.92540000169395509,55.477730807576776,Hanes,Active,Men,11.989999771118164,Houston TX
Yes,130,0.95558733798213968,161.4942601189816,Hanes,Socks,Men,11.989999771118164,Houston TX
Yes,113,0.934231324185843,63.527730044637323,Hanes,Active,Men,11.989999771118164,Houston TX
Yes,136,0.91544733395453326,81.264256762048,Hanes,Socks,Men,11.989999771118164,Houston TX
Yes,109,0.821109201785493,20.527730044637323,Hanes,Active,Men,11.989999771118164,Houston TX
Yes,62,0.9000700330178939,67.604260729333163,Hanes,Socks,Men,11.989999771118164,Houston TX
Yes,65,0.95527282677357506,95.517727908406854,Hanes,Active,Men,11.989999771118164,Houston TX
Yes,159,0.83095181029118614,36.894261644860507,Hanes,Socks,Men,11.989999771118164,Houston TX
Yes,114,-0.15650849702961292,-1.0157401099002357,Hanes,Socks,Men,11.989999771118164,Houston TX
Yes,158,0.58301445105453331,10.4942601189816,Hanes,Socks,Men,11.989999771118164,Houston TX
Yes,79,0.79708733332154025,29.484261797448397,Hanes,Socks,Men,11.989999771118164,Houston TX
Yes,116,0.97017492466567812,145.47772699287952,Hanes,Active,Men,11.989999771118164,Houston TX
Yes,162,0.91053671123821733,45.51773172310412,Hanes,Active,Men,11.989999771118164,Houston TX
No,63,0.8136554185265551,19.527730044637323,Hanes,Active,Men,11.989999771118164,Houston TX
Yes,99,0.9000700330178939,67.604260729333163,Hanes,Socks,Men,11.989999771118164,Houston TX
Yes,82,0.85087462522524959,25.517729815755487,Hanes,Active,Men,11.989999771118164,Houston TX
Yes,153,0.41315559785733097,5.2842600808346276,Hanes,Socks,Men,11.989999771118164,Houston TX
Yes,122,0.96978195976106307,143.52773004463734,Hanes,Active,Men,11.989999771118164,Houston TX
Yes,118,0.5267439105154379,4.97772985390246,Hanes,Active,Men,11.989999771118164,Houston TX
